,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
77,1777075200000,77444.796,1550504073873.627,33584952477.909107,2315.512,279460269416.0835,13635648616.699389,86.217,49639088898.2636,2940983190.8937225,75885.0,79389.0,74935.0,77445.0,2316.25,2420.19,2292.92,2315.51,85.36,89.24,84.45,86.22
78,1777420800000,76345.225,1528431321586.3352,32683167166.924606,2288.045,276138338870.7167,12066840793.75513,84.072,48377375336.998795,2473418274.371276,77490.0,79400.0,75706.0,76345.0,2315.35,2398.26,2263.65,2289.17,86.21,88.01,83.05,84.03
79,1777766400000,78655.346,1574625317385.0962,18618912381.93079,2316.329,279471189560.5661,6497751064.097067,84.347,48591957857.3805,1601214585.0990963,76343.0,79005.0,75103.0,78655.0,2289.49,2344.02,2224.38,2316.33,84.05,85.46,81.57,84.35
80,1778112000000,81424.995,1630523861201.5588,41133090710.83387,2350.478,283646020806.41174,21825138299.97193,89.049,51321745365.61878,4768687980.24027,78666.0,82752.0,78095.0,81425.0,2316.46,2420.01,2299.38,2350.48,84.27,89.85,83.38,89.05
81,1778457600000,82145.656,1644787760960.26,28066045740.096794,2368.838,285963726467.4334,17501460235.16661,96.485,55729207857.615685,3359511540.6947412,81450.0,82348.0,79287.0,82146.0,2351.11,2379.14,2268.68,2368.84,89.12,96.78,87.69,96.49
82,1778803200000,81051.983,1623427124965.4011,44287881795.36913,2281.496,275345080771.5522,16314146159.781778,92.118,53275101113.6648,3192297912.1597953,82147.0,82147.0,78795.0,81052.0,2371.89,2371.89,2237.51,2281.5,96.43,98.26,89.87,92.12
83,1779148800000,76952.215,1541450290438.4524,43600665899.53078,2128.492,256878631052.22052,17747081554.3689,85.253,49339589998.38592,3104440612.273183,81118.0,81595.0,76055.0,76952.0,2285.1,2296.94,2081.33,2128.49,92.13,92.53,83.55,85.25
84,1779494400000,75482.524,1512164902010.444,30314018356.68882,2064.378,249169080012.44092,13157867768.68006,84.325,48737778204.09818,2638763540.612364,76928.0,78034.0,75419.0,75483.0,2128.13,2147.69,2060.7,2064.38,85.28,87.75,83.86,84.33
85,1779840000000,75824.063,1519006468647.7368,39159693387.273636,2070.834,249887411816.00323,14289357242.495832,83.608,48368858303.26961,2866045094.419205,75501.0,77881.0,74344.0,75822.0,2063.84,2141.81,2020.99,2071.8,84.33,86.95,81.73,83.66
86,1780185600000,73751.068,1477685075481.0342,18041892698.4912,2019.176,243678354050.8948,6649283564.115899,82.537,47738327422.02609,1395937476.2028797,75870.0,75958.0,72515.0,73751.0,2075.9,2091.68,1970.91,2019.18,83.82,84.57,80.13,82.54
87,1780531200000,64021.889,1282892747601.9075,47109696433.67548,1811.35,218603067989.72678,22903130202.65802,71.679,41463157995.670876,3868466422.2546325,73758.0,74110.0,64022.0,64022.0,2018.82,2032.86,1777.57,1811.35,82.56,83.15,71.05,71.68
88,1780876800000,63254.572,1266954887605.9854,37684637505.908424,1687.044,203483035194.4283,16509959473.19324,66.238,38396875748.623276,3190683766.4057837,64253.0,64641.0,59228.0,63255.0,1814.99,1814.99,1512.07,1687.04,71.54,71.87,60.4,66.24
89,1781222400000,63552.301,1273718877820.8484,30075017169.00082,1671.889,201775713182.1136,11763657711.167143,66.741,38714541347.92488,2806788024.1748133,63208.0,64156.0,60882.0,63552.0,1685.73,1712.73,1606.01,1671.89,66.36,67.92,62.38,66.74
90,1781568000000,66300.959,1328696238979.8499,33915183708.415253,1794.049,216492207073.0023,18208174941.63196,73.964,42870067431.05761,3083746856.375229,63504.0,67217.0,62805.0,66301.0,1669.74,1846.1,1651.01,1794.05,66.81,75.81,65.94,73.96
